stopword,sentiment_label
th final chritopher reeve superman film superman tries rid world nuclear weapons find lex luthor back ready supply world dangerous weapons oh new sidekick nuclear man many people given lower rating understandably really bad film fun fast paced watchable consider worst find better worse part granted parts superior thanks richard donner seen many worse films superman random thoughts double date scene clever really annoying completely pointless superman would reveal lois lane find girls side although see idea getting rid nuclear weapons nice great social political commentary agree getting rid nuclear weapons would good move film made unrealistic world cheers reality countries would protest invades variety countries steals secret hidden weapons sure legality logistics stop someone building weapons happened lana lang end part looked like superman finally realized lois lane loser hooked lana never seen mentioned part despite working daily planet least last film gives anyone else think lex luthor getting little tired really need films luthor one luthor knockoff brainiac bizarro eradicator anyone else heck general zod much cooler luthor due respect gene hackman scene rebuilds great wall china looking power use tractor beams nipples anyway film bad many would believe spent six hours first three might well invest minutes series finale,negative
batman gripping moving exploration psyche peers souls dark knight also people whose lives changes presence film brilliantly acted perfectly chosen cast includes jack nicholson joker michael keaton batman kim basinger vicki vale micheal gough alfred pennyworth robert wuhl alexander knox tim burton makes perfect use wonderful directorial talents anton furst designs gothic beautiful gotham city danny elfman classic musical score help make unique thought provoking powerful modern classic masterpiece film noir grand opera michael keaton batman dark brooding tormented jack nicholson unforgettable joker nicholson joker maniacal magic kim bassinger vicki vale whose affections pursued batman joker prince soundtrack awesome score danny elfman well done costumes great set design oscar plus batman wonderful toys beautifully rendered gothic landscape anton furst creates sets scenery batman immediately evident upon first viewing film probably much less evident viewers much burton production team borrowed german expressionism silent filmmaking first three decades th century movie looks bit stale many movies imitated burton elfman become one trick ponies however look leader cinematic vanguard action movies realize good overall rating,positive
read book comic made condition clear let tell hardly able keep eyes open movie trying find bit interesting aspect movie lean script bunch useless flashbacks pulled say heroine mad guys daughter mean little idiotic showing big jigsaw almost nothing point world big joke killing million people best way save world synonymous life story readers book movie may made great viewing plain dumb movie action sequences looked huge thrilling zillion dollars given snyder used helpful thrill movie looked like upgraded bollywood mumbai movie industry movie loved previous movie made watch movie within hour movie screening could hear guy seat next snore really doubt different movie two hours forty minutes wasted watching looked like costly mega serial tv sewed together shown movie screen episodes missing rest shown wrong order especially almost movie seemed slow motion theater projector defect character description half characters lost missing would watch last part lord rings without watching first parts reading reviews website guess conclusion seems one threw script roof picked wrong order many pages missing,positive
try brief frank bottom line film car crash well published financial muddling production company level led production troubles massive budget cuts became superman runs minutes including titles minutes left cutting room floor screen looks cheap poor story telling rotten special effects nuclear man story carries punch simply tame lame fan original remember well taking movie old local cinema leaving bitterly disappointed seen movie since watched blue ray time improved christopher reeve best circumstances john williams theme music good ever poor movie audiences time mostly avoided wisely superman pretentious quest peace serves example make movie,negative
let honest even marvel fan boys waiting movie two well known superheroes fighting could go wrong lot positives batman alfred batfleck amazing ben affleck represented batman damaged changed moral code play cards right could center piece solo batman films made bad ass action amazing action thrilling exciting beautifully shot zack though expected nothing less wonder woman supringsly well done diana prince maybe bit stiff sometimes make character along way trust much wonder woman amazing got chills joined fight cinematography general beautiful film look nicely shot said action amazing cgi certain places bit meh one shot take movie bad stuff movie went downhill editing pacing guys movie mess movie begins great introduction batman stuff saw trailer go scene tells us story goes another scene invested particular jump cuts another scene seeing different story lines play minute scenes general movie goer er lose track dc fan could understand everything needed bring previous knowledge actually understand really bad pacing superman everyone agree think handled superman horribly needs symbol hope yet never exactly certain montage shown never felt representation dark also batman movie superman playing small part yet batman world dark superman want combine worlds let batman play role superman world lex luther hated representation power hungry menacing villain played mark suckable complete miscast care son real lex luther fit doomsday complete waste great story arc bring much going justice league set felt rushed way shoehorned characters lazy writing whole motivation superman fighting batman batman motivation clear great superman horrible one conversation away understanding fight course many many plot holes cant go wanna spoil whole movie verdict love flashy action go watch max like great story wait till releases blue ray mediocre movie epic man disappointed see many dc fans raging movie epic dealing phantom menace effect,positive
biggest problem dark knight rises predecessor dark knight potentially greatest superhero film time well one best movies ever made much hype much anticipation one incredible fell flat match dark knight mediocre film many people saying always expect sequel better movie thing make sequel going better going dark knight flow mood graceless dark knight scenes built form feeling absolute tension making film feel like one cohesive whole full different scenes form together gracefully create mood result film leave overall impression flow like felt much much longer nolan needed challenge dare better dark knight seems also batman nuclear bomb fit along nolan missed great opportunity show bane back story detail maybe flashbacks thereby enhance movie fact batman pariah really play part concern batman minutes batman making jokes fighting daylight hard watch epic return bit effortless someone years said done film terrible considering followed made could much,positive
arriving nearly three years superman ii superman completed without infighting backstage fuss hampered release predecessor signficant changes lois lane margot kidder features little movie lex luthor gene hackman feature storyline formula virtually first two film contains far much sort slapstick comedy underscored nearly undermined previous efforts film opens ridiculous slapstick credits sequence finishes superman christopher reeve rescuing man nearly drowns car elsewhere unemployed hoper gus gorman richard pryor signs train computer programmer finds something genius long comes attentions magnate ross webster robert vaughn intends use gorman talents help amass fortune coffee oil unfortunately superman scuppers plans prompting webster gorman try put action usual superheroics ensure superman comes aid burning chemical plant imperilled coffee crop final showdown deadly supercomputer away flying around secret identity clark kent superman reacquaints old high school flame lana lang appealing annette toole young son ricky paul kaethler interesting twist villains acquire kryptonite substance superman vulnerable exposed hero turns drunken lout splitting two personas one good one evil duel dominance fantastic scrapyard bound fistfight superman works best played straight especially gentler moments clark lana lang however much film depends unfunny overplayed comedy main culprit richard pryor far many scenes function setups strained top standup routines robert vaughn gives good performance webster like lex luthor neither sufficiently threatening imposing main villain annie ross pamela stephenson sister mistress respectively ineffectual unappealing sidekicks keeping head christopher reeve eponymous superhero really enjoys going bad film otherwise maintains consistent credible performance enjoyable flick excessive comedy series would eventually killed anodyne superman iv quest peace,positive
finally watched extended version movie took long get like many people heard sucked could truth kinda regret watching movie theater supporting film goes show listen everyone else say guess die hard comic book fans happy say good fun one thing threw watching originally tv commercials appeared like cgi awful maybe could left part trailers watching movie see wrong never read green lantern comics understand green lantern outfit like skin costume ala superman batman flash trailers misconception green lanterns look bad case cgi outfit watch make decision,positive
suicide squad sound bad hindsight concept actually pretty interesting good deal talent cast unfortunately winner turned sore loser even wasted opportunity batman vs superman costume production design brooding vibrantly colourful two performances good one enormously fun also deliciously deranged margot robbie harley quinn film interesting character menacing viola davis proving even stony face makes one feel uneasy el diablo also entertaining one characters used right feel necessary however smith work see deadshot see playing wooden fashion plays deadshot jovially something deadshot really also two introductions gives indication writers know characterise character enchantress pretty lame villain played cheese menace cara delevigne jared leto joker proves pointless misplaced story giving harley quinn backstory fleshed enough likewise batman ben affleck killer croc nothing one suicide squad biggest failings treatment characters harley quinn fully fleshed many characters either given short shrift either use example point slipknot dispatch character quickly cheaply consequences many characters muddled story feels rushed also incredibly confused script equally mess forced lazily written jokes visually costume set design suicide squad redeeming value looking good editing choppy special effects range average best mostly amateurish action scenes routine less thrilling chemistry extremely limited suspense next zero plus music constant far loud becomes nauseating assault ears conclusion could fun film flounders badly due lame execution wastes characters much cast davis particularly robbie standing bethany cox,negative
one satisfying movie watched long time story cinematography character world building james wan marvelous job movie like avatar level movie one miss,positive
avid comic book subsequent comic book movie lover never change watch og sad excellent movie come thankful blueprint granted big superman fan always bit boring comes territory nearly invincible really liked iteration see beginning see learn man know love cast wise movie stacked gene hackman marlon brando supporting roles actors movie first place also loved performance late christopher reeve confident superman neurotic wreck clark kent really glad finally watched one,positive
well official batman gotten balls back film dark extremely dark dark fact great number scenes filmed kid exactly like horror film huge fan real batman movies know batman batman returns done tim burton starred michael keaton carried along danny elfman rousing musical score let forget old batmobile films tank like monstrous new batmobile may well coolest car personally seen movie ages course fan rather putrid embarrassing batman films forever robin may well like movie totally suck like films basically story bruce wayne thought created became batman nutshell however also tells personal way struggles concepts justice vengeance shows us trained become ultimate fighter evil corruption introduces us different villain previous four films mighty good job even side note introduced good old commissioner gordon police commissioner also tells bit beginnings see beginning batcave find bruce wayne able quote joker get wonderful toys top ever thought michael keaton person could adequately correctly portray batman screen may change mind never imagined christian bale would remarkable job breakdown good action fast brilliantly choreographed dark mood finally back way batman supposed even less camp value burton films batmobile said incredible great sound effects boot supposedly designed person created keaton batmobile christian bale good almost causes forget kilmer clooney thank god michael caine powerful performances major player keeping bruce wayne humanity check katie holmes whose performance good tad weaker caine respect interestingly good job tough lawyer however bits comic relief ruin movie brilliant atmosphere excellent acting around claustrophobically crammed batman villains like last two films major villain scarecrow another character leave movie goers find excellent tension fantastic cinematography hurt help music good like may miss danny elfman beautiful score gotham city gothic however film slightly modern twist makes believable previous films especially last two guessed hated early story deals lot flashback sequences couple bit confusing belong chronologically may indeed chronological seemed like steady story flashbacks still gets point across film seems set either new batman series prequel tim burton original batman guess happy either long keep christian bale sell campy crap bad scarecrow seems bit underused endure batman forever got brilliant piece ugly also endure batman robin got har har ice zee ugh memorable scene batman scarecrow talking face face acting story atmosphere cinematography character development special effects make nudity sexuality none violence gore lot violence yum yum dialogue music direction cheesiness crappiness overall finally went reasons alone scarecrow little underused missed danny elfman music loved first two films love loved third fourth films well sir belong arkham asylum apparently hate movies everyone else go see,positive
dark knight rises film review cast christian bale tom hardy anne hathaway joseph gordon levitt gary oldman marion cotillard michael caine morgan freeman liam neeson director christopher nolan synopsis christian bale stars classic superhero batman billionaire alter ego bruce wayne last installment christopher nolan batman films bruce wayne longer feels city gotham needs hero goes hiding however new villain bane played tom hardy threatens gotham city wayne decides pick mask come rescue city review christopher nolan introduces final thrilling chapter batman series certainly another big adrenaline filled comic inspired movie feels right big screen sorts familiar faces keep us grounded audience introduced new characters well crisis threatens gotham city bruce wayne jumps back batmobile fight crime batman joined quest young eager cop joseph gordon levitt elusive cat burglar anne hathaway ultimate violent masked villain tom hardy film served great entertainment colorful cast unexpected plot twists nolan also used actors either appeared previous batman films major hit inception shown respective roles massive tom hardy almost unrecognizable bane costume joseph gordon levitt marion cotillard great robin talia obviously comfortable directing style overall dramatic tone similar inception actor seemed place anne hathaway selina kyle typically anne hathaway cast sort girl next door came shock watch steal fight way city gotham scenes however becomes evident casting decision good one hathaway portrayed darker catwoman role well long film traditional nolan style clocking minutes times movie felt drawn dramatic action scenes impressive dialogue really held audience attention kept edge seats however timeline tended bit confusing times sometimes throughout movie hard tell long since last time given character screen left knowledge passing time days months years even really shortcoming film despite minor flaws film dark knight rises exciting creative dark certainly well worth hours time,positive
mastetpirece movie best batman film ever excited watch movie robert pattinsin well mastetpirece movie best batman film ever excited watch movie robert pattinsin well,positive
finally batman suck explains bunch things troubled batman first heck nutty guy dress bat suit first place explanation given works good job fellas liked training part batman gets skills philosophy back story family killed good movie whole way point bad action sequences poorly edited went long car chase bored tears end cut half editing hyper fast shaky mentally figure watching like right footage flashed everything fast notice jarring make good sequence check fight scenes end get feel saying ahead story never good soon saw pouring poison pipe knew going full minutes characters good thing lastly movie minutes long checked watch times end ps logic villains absurd hate crime criminals decide kill whole city instead focusing criminals sorry absurdity bothers best batman flick date considering bad impressive,negative
cheesy yes clich oh yes original time effects astonishing corny goes top clich hero villain relationship superman fun little movie watch despite still digging batman even superman cool watch heard new superman movie coming seen original superman movie figured watch seeing new one comic book nerds know love movie offense remember rich one future general think anyone enjoy fun optimistic super hero movie,positive
well first must say bale mentioned perfect batman acting performance movie outstanding therefore high rating movie plot dialogs nothing ordinary start think batman movies seem realistic bruce batman perfect acting bale makes batman movies look really dull daft managed put funny lines well michael cane morgan freeman gave movie extra casual yet serious although funny touch impressed bale batman continue style danrozen swe,positive
first installment superman film series movie changed cbm history much thrilling emotional inspirational moments taste expected satiate hunger first installment superman film series movie changed cbm history much thrilling emotional inspirational moments taste expected satiate hunger first installment superman film series movie changed cbm history much thrilling emotional inspirational moments taste expected satiate hunger,positive
every previous film snyder grandiose visuals supersede essentially suffocate opportunities intriguing plot character development anything beyond cgi extravagance film presented much enough simultaneously visual effects dream sequences traditional tropes action drama stood way getting know care much going universe pros ben affleck decent bruce wayne batman henry cavill remains solid choice superman aqua man barely shown diane lane laurence fishburn jeremy irons solid minor roles special effects probably enjoy absurd amount showcased film cons jesse eisenberg snyder apparently forgot batman kill people battle batman superman lasted approximately five minutes minute run time batman origin story repeated used accent major point within film far much focus lois lane three heroes still shows plays role nearly every major battle sequence lack story character development various plot holes ad naseum likely last superhero film waste time viewing superhero team concept already abysmal showcasing numerous heroes super humans one film takes away development therefore connection hero oh well says hollywood still making killing,positive
see distinct minority really found movie quite hard sit also understand people loved looks great cast top rate direction stylish serious also huge improvement cheesy nonsense previous movies go wrong right start loved scenes bruce fall recovery really engaged morgan freeman getting bat based goodies really fell apart plot veered stuff unidentified bad guy obviously liam neeson sensei character plotting stick hallucinogenic gas air aim destroying city city bad somehow became convoluted without necessary tension keep interested end matter supreme indifference batman lived died shame hence harsh rating hopeful next movie sharpen plot long way retain excellent style movie,positive
underrated movie beauty neatly messages conveyed film strongest man adapted world went worst still lose calm henry cavill one fit role marvel fan admit fact even marvel beat level casting dc especially superman henry cavill wonder womanthis movie masterpiece soundtrack rely review go watch urself,positive
nd best batman movie christopher nolan great job,positive
serial killer strikes gotham city killing important political figures leaving behind series cryptic clues batman stop certainly different previous batman films definitely dark atmospheric pitch narrative different batman told almost crime noir made way could watch black white enjoy different perspective interesting real exploration character past family get sense batman haunted blown away heard robert pattinson cast batman vengeance quickly clearly penned character weight world shoulders incarnation dark haunted relentless strong determined expect laughs lighter moments andy serkis awesome always thought colin farrell paul dano great great visuals throughout gotham looks terrific terrific special effects duff ones think pattinson looked awesome costume well designed music fantastic thought one movie best elements interesting seeing much carnage played ave maria real juxtaposition wish could say without flaws epic imaginative reimagining one deserved success however pacing issue feels long sake long times scenes painfully drawn dialogue hard make times little muffled really like though ending knock couple stars rating work interesting see comes next imaginative retelling,positive
thought one feel like simply good movie could watch overhype made disappointed first viewing felt relied heavily random things happening worrying rules simple description rules actually helps movie viewer able enjoy show without holding many questions throughout runtime allow enjoy movie cgi bad people say definitely could better acting especially super girl given nominations would say ezra deserves one well seems busy moment favourite part movie story tells barry interesting story brought movie feel connected tue events screen comedy get overwhelming definitely keeps quiet scenes definitely perfect better mediocre,positive
stop beating movie richard pryor hilarious movie ubermensch tights take seriously look richard pryor superman spoof real star,negative
movie amazing watched early screening say mind blowing patty jenkins amazing person movie drama comedy amazing action amazing effects gal gadot gave amazing performance steve trevor magnificent movie say dceu back track,positive
john williams epic overture used good effect help illustrate pretty stellar cast christoph reeve gets third billing story opens us icebound planet krypton jor el marlon brando encouraging high council members pass sentence treacherous gen zod terence stamp co conspirators seems somewhat pointless soon discover planet decimated nearby sun jor el wife lara susannah york vision build son escape pod nick time launch space destination earth fortunately arrives noses kindly glenn ford phyllis thaxter timely demonstration strength decide adopt foundling skip forward many years start appreciate frustrations young man faces never able use powers good even american football tragedy strikes city goes finds work working irascible perry white jackie cooper renowned daily planet also realises free red cape remove geeky spectacles become world first flying strong man super hero antics attract plenty attention least colleague lois margot kidder arch crook lex luthor gene hackman former wants interview amongst things latter wants destroy carry dastardly plan redefine geography california solidly entertaining contributions ned beatty valerie perrine marc mcclure help consistently rated reeve part charismatic charm convey quickly paced action adventure also allows hackman perhaps bit scripted play fun role baddie megalomanic tendencies brain boot visual effects held remarkably well though quite love ending strong confident outing reeve resists temptation overly moralise delivers us enjoyable series good vs evil escapades well worth hours front big screen proper sound,positive
mighty big names lined still famous screen version comic book series relatively unknown actress margot kidder manages steal show everyone performance spunky lois lane remember richard donner direction square dorky christopher reeves plays man steel looks like plastic action figure gene hackman ned beatty yuck lex luthor right hand man valerie perrine oscar nominated actress god sake lends nothing really boobs picture luthor girlfriend movie climaxes spectacular earthquake decimates southern california offered time pretty dazzling special effects age dark angst ridden superhero flicks superman cheezy aw shucksness rather refreshing much fantastic four tim burton batman grade b,positive
movie desperately trying mimic flashpoint paradox tweaks cameos movie included unfunny scenes bad cgi director said purposely made special effects look weird rather distracting scenes look sometimes feels like film purely relies nostalgia rather good plot acting rather sub par unexciting ezra character pretty annoying compared character depictions tv shows dc animations spider man across spiderverse much better utilizing concept superhero multiverse variety characters,positive
liked lot dont get hate action good messages bad dc still snyder movie,positive
glad separate page ultimate edition lumping every review praising cut negatively received theatrical version pretty dumb misrepresentative ultimate edition comic book film ages like fine wine wholeheartedly defend almost every single choice highly ambitious film made weird conglomerate pieces paper work together yet results product shockingly cohesive rich pacing excellent slow burn superhero political thriller one favorite introductions fight resolutions yes talking moment endings comic book film ever love superman batman inverse story arcs still mirror one another end start seeing superman yet batman even lose sidekick justify direct setup justice league idea characterizing clark bruce way always going divisive deconstructed elements feels like come legitimate source love iconic characters challenges two face movie may unsettling watch necessary reaffirming characters qualities honestly makes zero sense audiences idea batman falling grace redeeming end considering despite kill code often overlooked belief anyone redeemed even joker suddenly terrible idea exact philosophy challenged directly batman issue batman kill congratulations somehow understand big trait character completely ignoring missing movie point batman kills bad thing film twitter take day bvs blame dc brand general public interest marvel clearly reactionary take blindly hate film whenever appreciation posts make rounds years later entirely inaccurate warner bros sabotaged chance movie perform expected executives investors forcing film remove minutes essential content removing scenes makes superman look reckless homicidal lex inexplicably lucky villain happens able manipulate everything without much effort justify oh jesse eisenberg great villain clancy brown line birthright lex luthor absolutely mannerisms great tonal contrast somberness batman superman idea eccentric millennial philanthropist works perfectly fact earned razzie role baffles day far hated also never understand people get idea movie uninspiring hopeless superman sacrifice unites everyone gets everyone see best mankind bruce set redemption path moving forward world mourns superman tastefully shot double funeral bookending scene mirrors bruce introduction film thus solidifying inverse storytelling movie released march positive would cracked billion dollars box office word mouth would substantially kinder dc trinity film would kicked badass franchise expectation second film cinematic universe got people see rushed project catch mcu knowing really going film franchise world building bvs feels far organic anything seen mcu point perfect movie wish fight superman batman lasted lot longer wish explanation lex knew batman superman identities really near masterpiece comic book film given cut movie chance please pains lot people seen theatrical cut yet continue talk poorly movie daily years later restore snyderverse buckle made first two dceu entries unique stop trying make copycat mcu give comic book fans variety crave oh release ayer cut,positive
superman computer genius named gus gorman teams evil president big company take superman using latest computer technology superman ends exposed synthetic kryptonite instead getting hurt turns evil good must fight away bad destroy evil supercomputer due lazy plot acting superman first adventures first two superman movies certain style made epic new director style completely lost everything made first movie good taken away lex luthor gone lois lane role shrunk supporting cameo new love interest film lana lang clark childhood sweetheart whereas first movie great mix action drama humour movie mostly humour little action movie mainly meant show richard pryor comedy skills plot general little weak villain lex luthor acting especially weak christopher reeve great job man steel entry seems getting bored course richard pryor completely ruins mood movie top acting overall movie joke really meant anything otherwise suggest people ignore parts iv skip right superman returns,negative
movie good many aspects would find enjoyable expected much squad waiting see director could handle type movies unfortunately find anything overwhelmingthe comedy part major disappointment really even smile margot robbie comedian know lines good deliver well sum comedy lines sick action part average first half yet superficially taken second half normal dc deliver performance movies marketing budgets need better view action scenes story part good story could much intense unfortunately quiet phenomenal mean dc always able deliver better comics introduction part characters really good actually hilarious go end going normal less normal acting part always faith jared leto sophisticated style making characters time exception delivered world class performance created joker would love see upcoming movies dc jared quiet phenomenal would give smith good always continued good work latest movies handsome good performance margot robbie never comedy abit cheesy scenes love movie although loved much wolf wall street definitely showed good actress find reason see classic female actress days good good performances good well really implies director good showing well built movie us sum failure dc yet hit say worth time definitely would see classic joker smith good performance,positive
let start saying never really fan batman care comics much movies seem spark interest anything batman related seemed lame dark knight came along heard scores people say best movie ever heath best joker ever fun stuff investigative person set prove theory wrong really pleased dark knight mean good get wrong god like heath good also god like saw movie say wow small summary following comic book style movie really made fun fictional old fashioned brought life dialogue costumes sets really authentic comic style movie lot dark comedy lacked dark knight brought life think michael keaton really impressed batman bruce wayne batman voice authentic sounding forced plus lot humor laid back style bruce wayne however jack nicholson undoubtedly spotlight play crazy personality come expect time lot comedy undoubtedly favorite joker kim basinger decent vicki vale seem shine much however think maybe supposed much robert wuhl hilarious knox vicki partner think deserved much screen time michael gough perfect alfred alfred written specifically know true pat hingle good commissioner gordon although get whole lot screen time back story jack palance shined filled role carl grisson well lastly tracey walter hilarious bob joker personal goon aside good music set acting plot solid lot back story right times twists worked end best superhero movie seen got batman tell much batman fans seen one really call batman fans,positive
typically used give credit fairly smart younger remember came vhs australia really excited also really enjoyed video ezy lithgow valley shopping centre lost copy never able see believing missing magical piece child hood went buy collector edition box set theatrical superman films supergirl knowing film reputation watched first find whether treasure remember sit one atrociously made movies ever seen also realized loved must moron famous story set movie reeve walked one co stars first day filming said something along lines going rough grin get reeve like many people working knew dead movie walking got idea budget guessing much probably spent getting reeve hackman appear distressing thing watching deteriorated condition margot kidder lois lane know suffering severe mental issues time hackman returns gives usual solid performance lex luthor one makes nuclear man mark pillow yes pillow sitting film credit need one hair metal reject long fingernails fight superman clever idea seeings superman become obsessed ridding world nuclear weapons understanding part story reeve anti nuclear wanted message film may main reason signed may reeve appears try lot harder would make horrible script really talk plot overcome numbness greatness first two films reeve presence john williams uplifting score gone gone wrong squandered hugely profitable franchise years would years anyone got another superman movie ground cheaply made minute funeral dirge reeve right rough cast crew could grin get fortunately viewers another option turn damned thing never watch,negative
wife avid watches seasons season happened like writers wanted us pay loyal giving iris bigger role barry spoilt annoying nagging controlling countless unreasonable hissy fits boss acted like id quickly tell shove job sun shine think could afford many panadol tablets get thru every shift deal show quickly went flash flash wife even giving flash powers character extremely annoying really ruins feel show longer watch found really cringeworthy wife loves chick flicks huge lol need get rid character like kill quit team like seriously reviews seem saying thing pull socks fix pile garbage good ruined first seasons,positive
first superman fan since pre teen george reeves cast role tv come long way since special effects cgi elevated film experience heights could imagined put perspective appreciate version superman according time frame filmed man steel first released really grab incredible cast lacking looking back movie compared avengers released within year man steel mcu humor humor humor case catch first time humor man steel director producers attempted insert total gravitas driving force translates cinema experience without punch pizzazz man steel could movie portrays struggle normal person struggle balance biological parents humanity personal strength well makes sad said superman fan,positive
